yieldcalc,production,area
1.3270736,848.0,639.0
1.7486339,320.0,183.0
6.403226,397.0,62.0
10.25,1066.0,104.0
1.1564552,2114.0,1828.0
9.897322,2217.0,224.0
16.802198,3058.0,182.0
6.909091,152.0,22.0
2.16,1512.0,700.0
1.0392157,795.0,765.0
1.2,1212.0,1010.0
1.5255411,1762.0,1155.0
2.3066666,173.0,75.0
2.5,50.0,20.0
1.3,221.0,170.0
9.0,4050.0,450.0
2.2,33.0,15.0
1.245827,3284.0,2636.0
0.8142743,4073.0,5002.0
0.6316945,2878.0,4556.0
1.8513514,137.0,74.0
2.65,212.0,80.0
0.91843975,259.0,282.0
4.114286,144.0,35.0
1.1378788,1502.0,1320.0
1.1686038,7742.0,6625.0
0.6,666.0,1110.0
0.6,138.0,230.0
6.0,1260.0,210.0
0.6,51.0,85.0
8.0,960.0,120.0
8.5,1275.0,150.0
1.1404878,1169.0,1025.0
1.3626769,5681.0,4169.0
1.2892691,1658.0,1286.0
1.6024096,266.0,166.0
9.458647,1258.0,133.0
1.3157895,275.0,209.0
8.833333,1749.0,198.0
32.42857,681.0,21.0
1.6290209,4659.0,2860.0
0.9226328,799.0,866.0
0.980198,990.0,1010.0
1.1532847,790.0,685.0
3.6842105,210.0,57.0
3.627451,185.0,51.0
1.1451613,213.0,186.0
8.08933,3260.0,403.0
1.2767241,4443.0,3480.0
0.8974471,22569.0,25148.0
0.8760488,2297.0,2622.0
1.2597402,97.0,77.0
1.5903615,264.0,166.0
9.620806,2867.0,298.0
1.0561224,1863.0,1764.0
6.3829203,2317.0,363.0
29.010416,2785.0,96.0
4.559322,269.0,59.0
1.1666666,13489.0,11562.0
0.6005917,203.0,338.0
0.5185185,14.0,27.0
0.3846154,10.0,26.0
15.350877,8750.0,570.0
0.7511111,169.0,225.0
3.8888888,490.0,126.0
0.52037036,281.0,540.0
0.5222222,235.0,450.0
0.448,112.0,250.0
0.9644,2411.0,2500.0
14.641176,9956.0,680.0
0.44444445,20.0,45.0
0.59117645,402.0,680.0
0.2601467,532.0,2045.0
0.42471042,110.0,259.0
0.78352493,818.0,1044.0
0.36494738,3467.0,9500.0
0.5058824,817.0,1615.0
1.470046,1276.0,868.0
2.1916666,13150.0,6000.0
14.641176,9956.0,680.0
1.7294117,147.0,85.0
9175.238,9634000.0,1050.0
0.57246375,395.0,690.0
6.9225807,3219.0,465.0
1.0,201.0,201.0
6.7624,25359.0,3750.0
23.501432,8202.0,349.0
5.62931,653.0,116.0
7.052381,1481.0,210.0
0.44047618,37.0,84.0
0.9257143,648.0,700.0
1.5946321,134217.0,84168.0
0.8503119,33805.0,39756.0
0.718894,312.0,434.0
0.5882353,20.0,34.0
0.44444445,4.0,9.0
7.8101716,50524.0,6469.0
0.6447368,49.0,76.0
5.112554,1181.0,231.0
0.5202049,914.0,1757.0
0.60048133,499.0,831.0
0.50674665,338.0,667.0
0.68396086,2307.0,3373.0
15.006063,29697.0,1979.0
0.42222223,38.0,90.0
0.54967946,1029.0,1872.0
0.5010762,2328.0,4646.0
0.4783715,188.0,393.0
0.8,1268.0,1585.0
0.4411589,7385.0,16740.0
0.5845686,3076.0,5262.0
1.5085663,10038.0,6654.0
2.5487099,131465.0,51581.0
15.006063,29697.0,1979.0
1.3965517,81.0,58.0
8832.12,16993000.0,1924.0
0.7997352,2416.0,3021.0
6.520436,4786.0,734.0
1.5003915,1916.0,1277.0
9.212031,67994.0,7381.0
36.19382,12885.0,356.0
2.5015528,1611.0,644.0
5.0,2030.0,406.0
0.6486486,24.0,37.0
0.8,968.0,1210.0
2.0020025,148961.0,74406.0
0.7945732,12826.0,16142.0
0.8305085,98.0,118.0
0.33333334,2.0,6.0
1.0,1.0,1.0
11.452392,24657.0,2153.0
0.6045198,107.0,177.0
6.4573646,2499.0,387.0
0.50155765,161.0,321.0
0.46484375,119.0,256.0
0.47495362,256.0,539.0
1.1010877,1721.0,1563.0
12.574243,8299.0,660.0
0.5,14.0,28.0
0.44814816,121.0,270.0
0.54423213,769.0,1413.0
0.40425533,76.0,188.0
0.74757284,231.0,309.0
0.6664752,4640.0,6962.0
0.53773135,1133.0,2107.0
1.2504051,6946.0,5555.0
3.2868915,35104.0,10680.0
12.574243,8299.0,660.0
1.8518518,50.0,27.0
6705.7764,3715000.0,554.0
0.6369863,372.0,584.0
6.154286,1077.0,175.0
2.0,530.0,265.0
9.71541,23453.0,2414.0
36.192707,6949.0,192.0
3.0,567.0,189.0
4.2297297,313.0,74.0
0.53333336,8.0,15.0
0.5927419,147.0,248.0
1.512699,52651.0,34806.0
1.9245125,16087.0,8359.0
0.71304345,82.0,115.0
0.36956522,34.0,92.0
10.038462,522.0,52.0
0.5,49.0,98.0
4.5,18.0,4.0
