statename,districtname,crop,cropyear,season,statenorm,districtnorm
Andhra Pradesh,KADAPA,Gram,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Groundnut,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Horse-gram,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Jowar,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Linseed,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Maize,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Moong(Green Gram),2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Onion,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Other  Rabi pulses,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Ragi,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Rice,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Safflower,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Sesamum,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Small millets,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Urad,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Wheat,2010,Rabi,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Banana,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Cashewnut,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Coriander,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Garlic,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Potato,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Sugarcane,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Sunflower,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Sweet potato,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Tobacco,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KADAPA,Turmeric,2010,Whole Year,andhra pradesh,kadapa
Andhra Pradesh,KRISHNA,Arhar/Tur,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Cotton(lint),2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Dry chillies,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Groundnut,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Maize,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Moong(Green Gram),2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Onion,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Rice,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Sesamum,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Urad,2010,Kharif,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Arhar/Tur,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Dry chillies,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Gram,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Groundnut,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Horse-gram,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Jowar,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Linseed,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Maize,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Moong(Green Gram),2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Onion,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Rapeseed &Mustard,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Rice,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Sesamum,2010,Rabi,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Urad,2010,Rabi,andhra pradesh,krishna
