statename,districtname,crop,cropyear,season,area,production,statenorm,districtnorm,yieldcalc
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana,2010,Whole Year,360.0,5517.0,andaman and nicobar islands,south andamans,15.325
Andaman and Nicobar Islands,SOUTH ANDAMANS,Coconut,2010,Whole Year,3540.0,11000000.0,andaman and nicobar islands,south andamans,3107.3446327683614
Andaman and Nicobar Islands,SOUTH ANDAMANS,Tapioca,2010,Whole Year,22.5,220.0,andaman and nicobar islands,south andamans,9.777777777777779
Andhra Pradesh,ANANTAPUR,Arhar/Tur,2010,Kharif,66013.0,11156.0,andhra pradesh,anantapur,0.16899701573932407
Andhra Pradesh,ANANTAPUR,Bajra,2010,Kharif,2010.0,1465.0,andhra pradesh,anantapur,0.7288557213930348
Andhra Pradesh,ANANTAPUR,Castor seed,2010,Kharif,4328.0,3795.0,andhra pradesh,anantapur,0.8768484288354899
Andhra Pradesh,ANANTAPUR,Cotton(lint),2010,Kharif,4338.0,2977.0,andhra pradesh,anantapur,0.6862609497464269
Andhra Pradesh,ANANTAPUR,Dry chillies,2010,Kharif,1968.0,7307.0,andhra pradesh,anantapur,3.7129065040650406
Andhra Pradesh,ANANTAPUR,Groundnut,2010,Kharif,814077.0,446928.0,andhra pradesh,anantapur,0.5489996646508868
Andhra Pradesh,ANANTAPUR,Horse-gram,2010,Kharif,655.0,317.0,andhra pradesh,anantapur,0.48396946564885496
Andhra Pradesh,ANANTAPUR,Jowar,2010,Kharif,2606.0,2069.0,andhra pradesh,anantapur,0.7939370683039141
Andhra Pradesh,ANANTAPUR,Maize,2010,Kharif,10726.0,51174.0,andhra pradesh,anantapur,4.771023680775685
Andhra Pradesh,ANANTAPUR,Mesta,2010,Kharif,32.0,286.0,andhra pradesh,anantapur,8.9375
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2010,Kharif,791.0,251.0,andhra pradesh,anantapur,0.3173198482932996
Andhra Pradesh,ANANTAPUR,Onion,2010,Kharif,1620.0,26924.0,andhra pradesh,anantapur,16.619753086419752
Andhra Pradesh,ANANTAPUR,Other Kharif pulses,2010,Kharif,1.0,,andhra pradesh,anantapur,
Andhra Pradesh,ANANTAPUR,Ragi,2010,Kharif,1876.0,3343.0,andhra pradesh,anantapur,1.7819829424307037
Andhra Pradesh,ANANTAPUR,Rice,2010,Kharif,34973.0,102007.0,andhra pradesh,anantapur,2.9167357675921424
Andhra Pradesh,ANANTAPUR,Small millets,2010,Kharif,371.0,345.0,andhra pradesh,anantapur,0.9299191374663073
Andhra Pradesh,ANANTAPUR,Soyabean,2010,Kharif,1682.0,2866.0,andhra pradesh,anantapur,1.7039239001189062
Andhra Pradesh,ANANTAPUR,Urad,2010,Kharif,14.0,6.0,andhra pradesh,anantapur,0.42857142857142855
Andhra Pradesh,ANANTAPUR,Bajra,2010,Rabi,5.0,4.0,andhra pradesh,anantapur,0.8
Andhra Pradesh,ANANTAPUR,Gram,2010,Rabi,94240.0,73601.0,andhra pradesh,anantapur,0.7809953310696095
Andhra Pradesh,ANANTAPUR,Groundnut,2010,Rabi,19993.0,34068.0,andhra pradesh,anantapur,1.7039963987395588
Andhra Pradesh,ANANTAPUR,Horse-gram,2010,Rabi,1527.0,860.0,andhra pradesh,anantapur,0.5631958087753766
Andhra Pradesh,ANANTAPUR,Jowar,2010,Rabi,13274.0,8296.0,andhra pradesh,anantapur,0.6249811661895435
Andhra Pradesh,ANANTAPUR,Maize,2010,Rabi,4750.0,43306.0,andhra pradesh,anantapur,9.117052631578947
